Methane PPM, Visible, IR, UV, CO2, CO PPM:
b'.35,,12.12\r\
b'835.59,65535.00,65535.00,655.35,2947,12.09\r\
b'847.02,65535.00,65535.00,655.35,2947,12.15\r\
b'858.58,65535.00,65535.00,655.35,1050.04,65535.00,65535.00,655.35,1571,12.36\r\
b'906.26,65535.00,65535.00,655.35,2667,12.26\r\
b'882.13,65535.00,65535.00,655.35,3067,12.19\r\
b'882.13,65535.00,65535.00,655.35,3006,12.15\r\
b'858.58,65535.00,65535.00,655.35,3006,12.09\r\
b'835.59,65535.00,65535.00,655.35,3256,12.19\r\
b'870.28,65535.00,65535.00,655.35,3192,12.15\r\
b'858.58,65535.00,65535.00,655.35,3322,12.09\r\
